sub_id,hf_match,target_shapes_match,nr_dists,t_d_ratio,mean_rt,pc
1.0,same,match,3.0,0.666666666667,832.431100577,1.0
2.0,same,match,3.0,0.666666666667,725.038083255,1.0
3.0,same,match,3.0,0.666666666667,681.277634957,0.75
4.0,same,match,3.0,0.666666666667,871.992378128,0.923076923077
5.0,same,match,3.0,0.666666666667,745.805849768,0.928571428571
6.0,same,match,3.0,0.666666666667,751.80215048,1.0
7.0,same,match,3.0,0.666666666667,755.517676543,0.846153846154
8.0,same,match,3.0,0.666666666667,832.035468769,0.833333333333
9.0,same,match,3.0,0.666666666667,937.886944137,1.0
10.0,same,match,3.0,0.666666666667,570.655494376,0.714285714286
11.0,same,match,3.0,0.666666666667,644.243961925,0.789473684211
12.0,same,match,3.0,0.666666666667,723.832047463,0.818181818182
13.0,same,match,3.0,0.666666666667,815.287258728,0.947368421053
14.0,same,match,3.0,0.666666666667,832.632613734,0.909090909091
15.0,same,match,3.0,0.666666666667,736.073607731,0.833333333333
1.0,same,match,4.0,0.5,826.045927825,0.888888888889
2.0,same,match,4.0,0.5,617.769694906,1.0
3.0,same,match,4.0,0.5,642.564584541,1.0
4.0,same,match,4.0,0.5,739.965842731,1.0
5.0,same,match,4.0,0.5,649.548183265,0.888888888889
6.0,same,match,4.0,0.5,667.429240195,0.866666666667
7.0,same,match,4.0,0.5,683.354854439,1.0
8.0,same,match,4.0,0.5,815.750878103,0.916666666667
9.0,same,match,4.0,0.5,788.219760357,0.909090909091
10.0,same,match,4.0,0.5,567.364265778,0.785714285714
11.0,same,match,4.0,0.5,644.476542004,0.6875
12.0,same,match,4.0,0.5,611.513514208,0.928571428571
13.0,same,match,4.0,0.5,627.610178296,0.9
14.0,same,match,4.0,0.5,796.665538656,0.923076923077
15.0,same,match,4.0,0.5,611.619972775,0.941176470588
1.0,same,match,6.0,0.333333333333,761.183368998,1.0
2.0,same,match,6.0,0.333333333333,689.076373384,1.0
3.0,same,match,6.0,0.333333333333,806.125835081,0.909090909091
4.0,same,match,6.0,0.333333333333,738.533858503,1.0
5.0,same,match,6.0,0.333333333333,669.31048742,0.8125
6.0,same,match,6.0,0.333333333333,678.69697742,0.944444444444
7.0,same,match,6.0,0.333333333333,734.19703461,1.0
