sub_id,nr_targets,nr_dists,nr_stim,t_d_ratio,mean_rt,pc
1.0,1.0,2.0,3.0,0.5,772.656509522,0.925925925926
2.0,1.0,2.0,3.0,0.5,668.430595383,0.925925925926
3.0,1.0,2.0,3.0,0.5,765.379051027,0.925925925926
4.0,1.0,2.0,3.0,0.5,821.745437184,0.962962962963
5.0,1.0,2.0,3.0,0.5,649.700850348,0.925925925926
6.0,1.0,2.0,3.0,0.5,695.709244603,0.962962962963
7.0,1.0,2.0,3.0,0.5,668.290189606,0.907407407407
8.0,1.0,2.0,3.0,0.5,776.84215979,0.977777777778
9.0,1.0,2.0,3.0,0.5,747.422472886,0.981481481481
10.0,1.0,2.0,3.0,0.5,623.716095735,0.981481481481
11.0,1.0,2.0,3.0,0.5,655.437873146,0.814814814815
12.0,1.0,2.0,3.0,0.5,712.714977558,0.888888888889
13.0,1.0,2.0,3.0,0.5,645.382382814,0.888888888889
14.0,1.0,2.0,3.0,0.5,857.262730658,0.796296296296
15.0,1.0,2.0,3.0,0.5,585.374010017,0.907407407407
1.0,1.0,3.0,4.0,0.333333333333,706.700492641,1.0
2.0,1.0,3.0,4.0,0.333333333333,666.534055202,1.0
3.0,1.0,3.0,4.0,0.333333333333,700.801075486,0.944444444444
4.0,1.0,3.0,4.0,0.333333333333,718.167221407,0.944444444444
5.0,1.0,3.0,4.0,0.333333333333,649.085593764,0.981481481481
6.0,1.0,3.0,4.0,0.333333333333,691.429757596,0.981481481481
7.0,1.0,3.0,4.0,0.333333333333,660.936414832,0.981481481481
8.0,1.0,3.0,4.0,0.333333333333,762.281534972,0.977777777778
9.0,1.0,3.0,4.0,0.333333333333,685.932668337,1.0
10.0,1.0,3.0,4.0,0.333333333333,634.586976244,0.944444444444
11.0,1.0,3.0,4.0,0.333333333333,679.020070337,0.796296296296
12.0,1.0,3.0,4.0,0.333333333333,643.143932838,1.0
13.0,1.0,3.0,4.0,0.333333333333,654.256811714,0.944444444444
14.0,1.0,3.0,4.0,0.333333333333,726.004119704,0.962962962963
15.0,1.0,3.0,4.0,0.333333333333,595.812954434,0.888888888889
1.0,1.0,5.0,6.0,0.2,715.46007735,1.0
2.0,1.0,5.0,6.0,0.2,668.045175211,0.962962962963
3.0,1.0,5.0,6.0,0.2,753.159893346,0.962962962963
